['Statistical analysis with missing data'],['2019'],"['Little, Roderick JA and Rubin, Donald B']"
"['The social system', 'Toward a general theory of action']",['2017'],"['Parsons, Talcott and Shils, Edward A and Smelser, Neil J']"
['The social psychology of groups'],['2017'],"['Thibaut, John W']"
['Introduction to percolation theory'],['2018'],"['Stauffer, Dietrich and Aharony, Ammon']"
['Networks'],['2018'],"['Newman, Mark']"
['The rise of the creative class'],['2019'],"['Florida, Richard']"
['Society and the adolescent self-image'],['2015'],"['Rosenberg, Morris']"
['Intermolecular and surface forces'],['2015'],"['Israelachvili, Jacob N']"
"['Cancer incidence and mortality worldwide: sources, methods and major patterns in GLOBOCAN 2012']",['2015'],"['Ferlay, Jacques and Soerjomataram, Isabelle and Dikshit, Rajesh and Eser, Sultan and Mathers, Colin and Rebelo, Marise and Parkin, Donald Maxwell and Forman, David and Bray, Freddie']"
['Between facts and norms: Contributions to a discourse theory of law and democracy'],['2015'],"['Habermas, J{\\""u']"
"['Educational research: Quantitative, qualitative, and mixed approaches']",['2019'],"['Johnson, R Burke and Christensen, Larry']"
"['Adolescence-limited and life-course-persistent antisocial behavior: A developmental taxonomy', 'Biosocial theories of crime']",['2017'],"['Moffitt, Terrie E']"
['Numerical heat transfer and fluid flow'],['2018'],"['Patankar, Suhas']"
"['Culturally responsive teaching: Theory, research, and practice']",['2018'],"['Gay, Geneva']"
['Case study research and applications: Design and methods'],['2017'],"['Yin, Robert K']"
['The civic culture: Political attitudes and democracy in five nations'],['2015'],"['Almond, Gabriel Abraham and Verba, Sidney']"
['Scale development: Theory and applications'],['2016'],"['DeVellis, Robert F']"
['Varieties of capitalism'],['2015'],"['Hall, Peter A']"
['Research methods in anthropology: Qualitative and quantitative approaches'],['2017'],"['Bernard, H Russell']"
['Learning to labour: How working class kids get working class jobs'],['2017'],"['Willis, Paul']"
['Qualitative research methods for the social sciences'],['2016'],"['Lune, Howard and Berg, Bruce L']"
['Patterns of attachment: A psychological study of the strange situation'],['2015'],"['Ainsworth, Mary D Salter and Blehar, Mary C and Waters, Everett and Wall, Sally N']"
['Causes of delinquency'],['2017'],"['Hirschi, Travis']"
['Trauma and recovery: The aftermath of violence--from domestic abuse to political terror'],['2015'],"['Herman, Judith L']"
['Researching lived experience: Human science for an action sensitive pedagogy'],['2016'],"['Van Manen, Max']"
['Basics of qualitative research'],['2015'],"['Corbin, Juliet and Strauss, Anselm L and Strauss, Anselm']"
['Experimental designs to'],['2018'],"['TG, GXGTO']"
"['Generalized additive models', 'Statistical models in S']",['2017'],"['Hastie, Trevor J']"
['The sciences of the artificial'],['2019'],"['Simon, Herbert A']"
"['Introduction to mediation, moderation, and conditional process analysis: A regression-based approach']",['2017'],"['Hayes, Andrew F']"
['Pedagogy of the oppressed'],['2018'],"['Freire, Paulo']"
"['Faster r-cnn: Towards real-time object detection with region proposal networks', 'Advances in neural information processing systems']",['2015'],"['Ren, Shaoqing and He, Kaiming and Girshick, Ross and Sun, Jian']"
['The economics of welfare'],['2017'],"['Pigou, Arthur']"
"['Deep residual learning for image recognition', 'Proceedings of the IEEE conference on computer vision and pattern recognition']",['2016'],"['He, Kaiming and Zhang, Xiangyu and Ren, Shaoqing and Sun, Jian']"
['Adaptation and natural selection: A critique of some current evolutionary thought'],['2018'],"['Williams, George Christopher']"
['The authoritarian personality'],['2019'],"['Adorno, Theodor and Frenkel-Brenswik, Else and Levinson, Daniel J and Sanford, R Nevitt']"
['Density estimation for statistics and data analysis'],['2018'],"['Silverman, Bernard W']"
['The coding manual for qualitative researchers'],['2015'],['Salda{\\~n']
['Culture shift in advanced industrial society'],['2018'],"['Inglehart, Ronald']"
['Imagenet large scale visual recognition challenge'],['2015'],"['Russakovsky, Olga and Deng, Jia and Su, Hao and Krause, Jonathan and Satheesh, Sanjeev and Ma, Sean and Huang, Zhiheng and Karpathy, Andrej and Khosla, Aditya and Bernstein, Michael and others']"
